1	1	0	7.768	217.405	0.943	0.943	2.296	6.382	20.352	72.011	4189.398
2	1	1	7.371	217.455	1.073	0.951	2.414	7.008	23.083	83.315	3995.026
3	1	2	7.753	217.944	1.050	0.991	2.521	7.477	24.807	89.354	3938.991
4	1	3	7.806	217.595	0.896	0.879	2.284	6.152	18.659	62.139	4144.341
5	1	4	7.699	218.308	1.039	1.005	2.489	7.341	24.317	87.649	3856.469
6	1	5	8.371	217.901	1.028	0.796	2.271	6.217	19.497	67.864	4270.144
7	1	6	7.665	217.050	1.046	1.023	2.447	7.018	22.467	78.151	3716.076
8	1	7	7.271	218.948	1.748	1.523	2.730	8.410	28.167	100.488	2477.484
9	1	8	7.915	216.977	0.846	0.809	2.495	7.461	25.291	93.793	2816.724
10	1	9	7.453	217.403	1.161	0.997	2.378	6.807	22.250	80.272	4332.815
11	1	10	7.637	217.263	1.074	0.933	2.202	5.729	16.850	54.729	3626.494
12	1	11	7.788	218.043	1.150	0.907	2.523	7.581	25.659	94.552	3195.466
13	1	12	7.664	217.673	0.993	0.830	2.440	7.021	22.765	80.836	3996.865
14	1	13	7.655	218.272	1.006	0.904	2.656	8.330	29.065	109.095	2255.888
15	1	14	8.029	216.986	1.149	1.223	2.342	6.649	21.574	77.247	4253.944
16	1	15	8.110	217.848	0.960	0.896	2.417	7.153	24.143	89.255	4284.809
17	1	16	7.526	217.896	1.038	0.968	2.300	6.365	20.099	70.139	4490.703
18	1	17	8.005	216.754	1.142	0.925	2.426	7.017	22.843	81.039	4330.018
19	1	18	7.906	216.995	1.167	1.017	2.328	6.450	20.191	69.306	4685.990
20	1	19	7.359	216.982	1.075	1.001	2.316	6.427	20.265	70.354	4150.153
21	1	20	7.449	217.460	1.027	0.850	2.325	6.558	21.348	77.546	4287.709
22	1	21	6.980	218.241	0.939	0.887	2.222	6.073	19.309	68.780	4233.871
23	1	22	7.989	216.683	1.133	0.888	2.182	5.799	17.814	61.266	3460.115
24	1	23	7.548	217.769	1.004	0.779	2.426	7.068	23.406	85.196	3679.013
25	1	24	7.321	216.954	1.032	1.135	2.209	5.801	17.259	56.644	3426.270
26	2	0	622.933	854.242	1.242	0.587	2.886	9.496	34.335	132.670	314.840
27	2	1	622.574	853.964	1.064	0.525	3.052	10.621	40.368	162.603	55.154
